,value
0,10.01
1,10.0
2,9.99
3,10.0
4,9.99
5,9.98
6,9.97
7,9.98
8,9.97
9,9.96
10,9.97
11,9.96
12,9.97
13,9.96
14,9.950000000000001
15,9.940000000000001
16,9.930000000000001
17,9.940000000000001
18,9.930000000000001
19,9.940000000000001
20,9.950000000000001
21,9.940000000000001
22,9.930000000000001
23,9.940000000000001
24,9.930000000000001
25,9.920000000000002
26,9.910000000000002
27,9.920000000000002
28,9.930000000000001
29,9.920000000000002
30,9.910000000000002
31,9.920000000000002
32,9.930000000000001
33,9.940000000000001
34,9.930000000000001
35,9.920000000000002
36,9.930000000000001
37,9.920000000000002
38,9.910000000000002
39,9.900000000000002
40,9.890000000000002
41,9.900000000000002
42,9.890000000000002
43,9.900000000000002
44,9.910000000000002
45,9.920000000000002
46,9.910000000000002
47,9.900000000000002
48,9.910000000000002
49,9.920000000000002
50,9.910000000000002
51,9.900000000000002
52,9.890000000000002
53,9.900000000000002
54,9.890000000000002
55,9.880000000000003
56,9.870000000000003
57,9.880000000000003
58,9.870000000000003
59,9.860000000000003
60,9.850000000000003
61,9.840000000000003
62,9.830000000000004
63,9.840000000000003
64,9.850000000000003
65,9.860000000000003
66,9.850000000000003
67,9.860000000000003
68,9.850000000000003
69,9.840000000000003
70,9.830000000000004
71,9.820000000000004
72,9.830000000000004
73,9.840000000000003
74,9.830000000000004
75,9.840000000000003
76,9.830000000000004
77,9.840000000000003
78,9.830000000000004
79,9.840000000000003
80,9.830000000000004
81,9.820000000000004
82,9.810000000000004
83,9.820000000000004
84,9.830000000000004
85,9.820000000000004
86,9.810000000000004
87,9.800000000000004
88,9.790000000000004
89,9.780000000000005
90,9.770000000000005
91,9.780000000000005
92,9.770000000000005
93,9.760000000000005
94,9.750000000000005
95,9.740000000000006
96,9.750000000000005
97,9.740000000000006
98,9.750000000000005
99,9.760000000000005
100,9.770000000000005
101,9.780000000000005
102,9.770000000000005
103,9.760000000000005
104,9.770000000000005
105,9.780000000000005
106,9.790000000000004
107,9.800000000000004
108,9.790000000000004
109,9.800000000000004
110,9.810000000000004
111,9.820000000000004
112,9.830000000000004
113,9.840000000000003
114,9.830000000000004
115,9.820000000000004
116,9.810000000000004
117,9.800000000000004
118,9.810000000000004
119,9.800000000000004
120,9.790000000000004
121,9.800000000000004
122,9.790000000000004
123,9.800000000000004
124,9.790000000000004
125,9.800000000000004
126,9.810000000000004
127,9.800000000000004
128,9.810000000000004
129,9.820000000000004
130,9.810000000000004
131,9.800000000000004
132,9.790000000000004
133,9.780000000000005
134,9.790000000000004
135,9.780000000000005
136,9.770000000000005
137,9.780000000000005
138,9.790000000000004
139,9.780000000000005
140,9.770000000000005
141,9.760000000000005
142,9.750000000000005
143,9.760000000000005
144,9.770000000000005
145,9.780000000000005
146,9.790000000000004
147,9.780000000000005
148,9.790000000000004
149,9.800000000000004
150,9.790000000000004
151,9.800000000000004
152,9.790000000000004
153,9.800000000000004
154,9.790000000000004
155,9.780000000000005
156,9.770000000000005
157,9.760000000000005
158,9.750000000000005
159,9.760000000000005
160,9.750000000000005
161,9.760000000000005
162,9.750000000000005
163,9.760000000000005
164,9.750000000000005
165,9.760000000000005
166,9.750000000000005
167,9.740000000000006
168,9.750000000000005
169,9.740000000000006
170,9.730000000000006
171,9.740000000000006
172,9.750000000000005
173,9.740000000000006
174,9.750000000000005
175,9.740000000000006
176,9.750000000000005
177,9.740000000000006
178,9.730000000000006
179,9.720000000000006
180,9.730000000000006
181,9.720000000000006
182,9.730000000000006
183,9.720000000000006
184,9.710000000000006
185,9.700000000000006
186,9.710000000000006
187,9.720000000000006
188,9.710000000000006
189,9.700000000000006
190,9.710000000000006
191,9.700000000000006
192,9.690000000000007
193,9.700000000000006
194,9.690000000000007
195,9.680000000000007
196,9.690000000000007
197,9.700000000000006
198,9.690000000000007
199,9.700000000000006
200,9.690000000000007
201,9.680000000000007
202,9.670000000000007
203,9.660000000000007
204,9.670000000000007
205,9.680000000000007
206,9.690000000000007
207,9.700000000000006
208,9.710000000000006
209,9.700000000000006
210,9.690000000000007
211,9.680000000000007
212,9.670000000000007
213,9.680000000000007
214,9.690000000000007
215,9.680000000000007
216,9.670000000000007
217,9.680000000000007
218,9.670000000000007
219,9.680000000000007
220,9.690000000000007
221,9.700000000000006
222,9.690000000000007
223,9.700000000000006
224,9.710000000000006
225,9.720000000000006
226,9.710000000000006
227,9.700000000000006
228,9.690000000000007
229,9.680000000000007
230,9.670000000000007
231,9.660000000000007
232,9.650000000000007
233,9.640000000000008
234,9.650000000000007
235,9.640000000000008
236,9.630000000000008
237,9.620000000000008
238,9.630000000000008
239,9.620000000000008
240,9.630000000000008
241,9.620000000000008
242,9.630000000000008
243,9.620000000000008
244,9.610000000000008
245,9.620000000000008
246,9.610000000000008
247,9.600000000000009
248,9.610000000000008
249,9.600000000000009
250,9.610000000000008
251,9.600000000000009
252,9.590000000000009
253,9.600000000000009
254,9.610000000000008
255,9.620000000000008
256,9.610000000000008
257,9.600000000000009
258,9.610000000000008
259,9.620000000000008
260,9.610000000000008
261,9.620000000000008
262,9.630000000000008
263,9.620000000000008
264,9.610000000000008
265,9.620000000000008
266,9.610000000000008
267,9.600000000000009
268,9.590000000000009
269,9.580000000000009
270,9.590000000000009
271,9.600000000000009
272,9.610000000000008
273,9.600000000000009
274,9.590000000000009
275,9.600000000000009
276,9.610000000000008
277,9.600000000000009
278,9.590000000000009
279,9.580000000000009
280,9.590000000000009
281,9.600000000000009
282,9.590000000000009
283,9.600000000000009
284,9.610000000000008
285,9.620000000000008
286,9.610000000000008
287,9.600000000000009
288,9.610000000000008
289,9.620000000000008
290,9.630000000000008
291,9.640000000000008
292,9.650000000000007
293,9.660000000000007
294,9.650000000000007
295,9.660000000000007
296,9.650000000000007
297,9.640000000000008
298,9.650000000000007
299,9.640000000000008
300,9.650000000000007
301,9.640000000000008
302,9.630000000000008
303,9.640000000000008
304,9.650000000000007
305,9.640000000000008
306,9.630000000000008
307,9.620000000000008
308,9.610000000000008
309,9.600000000000009
310,9.590000000000009
311,9.600000000000009
312,9.590000000000009
313,9.580000000000009
314,9.590000000000009
315,9.580000000000009
316,9.590000000000009
317,9.600000000000009
318,9.590000000000009
319,9.580000000000009
320,9.57000000000001
321,9.56000000000001
322,9.57000000000001
323,9.56000000000001
324,9.57000000000001
325,9.580000000000009
326,9.590000000000009
327,9.580000000000009
328,9.590000000000009
329,9.580000000000009
330,9.57000000000001
331,9.580000000000009
332,9.590000000000009
333,9.580000000000009
334,9.57000000000001
335,9.56000000000001
336,9.57000000000001
337,9.56000000000001
338,9.57000000000001
339,9.56000000000001
340,9.57000000000001
341,9.56000000000001
342,9.57000000000001
343,9.580000000000009
344,9.590000000000009
345,9.580000000000009
346,9.590000000000009
347,9.580000000000009
348,9.57000000000001
349,9.56000000000001
350,9.57000000000001
351,9.56000000000001
352,9.55000000000001
353,9.54000000000001
354,9.55000000000001
355,9.56000000000001
356,9.57000000000001
357,9.56000000000001
358,9.57000000000001
359,9.56000000000001
360,9.57000000000001
361,9.56000000000001
362,9.55000000000001
363,9.56000000000001
364,9.55000000000001
365,9.54000000000001
366,9.53000000000001
367,9.54000000000001
368,9.53000000000001
369,9.52000000000001
370,9.51000000000001
371,9.50000000000001
372,9.51000000000001
373,9.50000000000001
374,9.51000000000001
375,9.50000000000001
376,9.51000000000001
377,9.50000000000001
378,9.51000000000001
379,9.50000000000001
380,9.49000000000001
381,9.50000000000001
382,9.49000000000001
383,9.480000000000011
384,9.49000000000001
385,9.480000000000011
386,9.49000000000001
387,9.50000000000001
388,9.51000000000001
389,9.52000000000001
390,9.51000000000001
391,9.50000000000001
392,9.49000000000001
393,9.480000000000011
394,9.49000000000001
395,9.480000000000011
396,9.49000000000001
397,9.480000000000011
398,9.49000000000001
399,9.480000000000011
400,9.49000000000001
401,9.480000000000011
402,9.470000000000011
403,9.480000000000011
404,9.470000000000011
405,9.460000000000012
406,9.450000000000012
407,9.440000000000012
408,9.430000000000012
409,9.420000000000012
410,9.430000000000012
411,9.440000000000012
412,9.450000000000012
413,9.460000000000012
414,9.470000000000011
415,9.480000000000011
416,9.470000000000011
417,9.480000000000011
418,9.49000000000001
