,value
0,10.1
1,10.0
2,10.1
3,10.2
4,10.299999999999999
5,10.2
6,10.299999999999999
7,10.399999999999999
8,10.499999999999998
9,10.399999999999999
10,10.499999999999998
11,10.599999999999998
12,10.699999999999998
13,10.799999999999997
14,10.899999999999997
15,10.799999999999997
16,10.899999999999997
17,10.799999999999997
18,10.699999999999998
19,10.799999999999997
20,10.699999999999998
21,10.799999999999997
22,10.699999999999998
23,10.599999999999998
24,10.499999999999998
25,10.399999999999999
26,10.499999999999998
27,10.599999999999998
28,10.499999999999998
29,10.599999999999998
30,10.699999999999998
31,10.799999999999997
32,10.899999999999997
33,10.999999999999996
34,11.099999999999996
35,11.199999999999996
36,11.099999999999996
37,11.199999999999996
38,11.299999999999995
39,11.199999999999996
40,11.299999999999995
41,11.399999999999995
42,11.499999999999995
43,11.399999999999995
44,11.499999999999995
45,11.599999999999994
46,11.699999999999994
47,11.599999999999994
48,11.499999999999995
49,11.599999999999994
50,11.699999999999994
51,11.599999999999994
52,11.499999999999995
53,11.599999999999994
54,11.699999999999994
55,11.799999999999994
56,11.699999999999994
57,11.799999999999994
58,11.899999999999993
59,11.999999999999993
60,12.099999999999993
61,11.999999999999993
62,12.099999999999993
63,11.999999999999993
64,11.899999999999993
65,11.999999999999993
66,12.099999999999993
67,12.199999999999992
68,12.099999999999993
69,11.999999999999993
70,11.899999999999993
71,11.799999999999994
72,11.699999999999994
73,11.599999999999994
74,11.499999999999995
75,11.599999999999994
76,11.699999999999994
77,11.799999999999994
78,11.899999999999993
79,11.999999999999993
80,11.899999999999993
81,11.799999999999994
82,11.899999999999993
83,11.999999999999993
84,11.899999999999993
85,11.799999999999994
86,11.899999999999993
87,11.999999999999993
88,12.099999999999993
89,11.999999999999993
90,12.099999999999993
91,12.199999999999992
92,12.099999999999993
93,12.199999999999992
94,12.299999999999992
95,12.399999999999991
96,12.299999999999992
97,12.399999999999991
98,12.499999999999991
99,12.59999999999999
100,12.69999999999999
101,12.79999999999999
102,12.69999999999999
103,12.59999999999999
104,12.69999999999999
105,12.79999999999999
106,12.89999999999999
107,12.79999999999999
108,12.69999999999999
109,12.79999999999999
110,12.89999999999999
111,12.99999999999999
112,12.89999999999999
113,12.79999999999999
114,12.69999999999999
115,12.59999999999999
116,12.499999999999991
117,12.399999999999991
118,12.499999999999991
119,12.399999999999991
120,12.499999999999991
121,12.399999999999991
122,12.499999999999991
123,12.59999999999999
124,12.499999999999991
125,12.399999999999991
126,12.299999999999992
127,12.199999999999992
128,12.299999999999992
129,12.399999999999991
130,12.499999999999991
131,12.399999999999991
132,12.499999999999991
133,12.59999999999999
134,12.499999999999991
135,12.59999999999999
136,12.69999999999999
137,12.59999999999999
138,12.499999999999991
139,12.59999999999999
140,12.499999999999991
141,12.399999999999991
142,12.299999999999992
143,12.199999999999992
144,12.299999999999992
145,12.199999999999992
146,12.299999999999992
147,12.199999999999992
148,12.299999999999992
149,12.199999999999992
150,12.299999999999992
151,12.399999999999991
152,12.499999999999991
153,12.59999999999999
154,12.69999999999999
155,12.59999999999999
156,12.69999999999999
157,12.79999999999999
158,12.89999999999999
159,12.79999999999999
160,12.69999999999999
161,12.59999999999999
162,12.69999999999999
163,12.59999999999999
164,12.499999999999991
165,12.59999999999999
166,12.69999999999999
167,12.79999999999999
168,12.69999999999999
169,12.79999999999999
170,12.89999999999999
171,12.79999999999999
172,12.89999999999999
173,12.79999999999999
174,12.69999999999999
175,12.59999999999999
176,12.69999999999999
177,12.79999999999999
178,12.69999999999999
179,12.79999999999999
180,12.89999999999999
181,12.99999999999999
182,12.89999999999999
183,12.99999999999999
184,13.099999999999989
185,13.199999999999989
186,13.299999999999988
187,13.199999999999989
188,13.299999999999988
189,13.199999999999989
190,13.099999999999989
191,13.199999999999989
192,13.099999999999989
193,12.99999999999999
194,12.89999999999999
195,12.99999999999999
196,13.099999999999989
197,12.99999999999999
198,13.099999999999989
199,12.99999999999999
200,13.099999999999989
201,12.99999999999999
202,13.099999999999989
203,12.99999999999999
204,12.89999999999999
205,12.99999999999999
206,13.099999999999989
207,12.99999999999999
208,12.89999999999999
209,12.79999999999999
210,12.69999999999999
211,12.59999999999999
212,12.69999999999999
213,12.79999999999999
214,12.69999999999999
215,12.59999999999999
216,12.69999999999999
217,12.79999999999999
218,12.89999999999999
219,12.99999999999999
220,13.099999999999989
221,12.99999999999999
222,12.89999999999999
223,12.79999999999999
224,12.89999999999999
225,12.79999999999999
226,12.69999999999999
227,12.79999999999999
228,12.69999999999999
229,12.79999999999999
230,12.89999999999999
231,12.79999999999999
232,12.69999999999999
233,12.59999999999999
234,12.499999999999991
235,12.59999999999999
236,12.499999999999991
237,12.59999999999999
238,12.69999999999999
239,12.59999999999999
240,12.69999999999999
241,12.79999999999999
242,12.69999999999999
243,12.79999999999999
244,12.89999999999999
245,12.79999999999999
246,12.89999999999999
247,12.79999999999999
248,12.69999999999999
249,12.59999999999999
250,12.69999999999999
251,12.79999999999999
252,12.69999999999999
253,12.79999999999999
254,12.89999999999999
255,12.79999999999999
256,12.89999999999999
257,12.79999999999999
258,12.69999999999999
259,12.79999999999999
260,12.89999999999999
261,12.99999999999999
262,13.099999999999989
263,12.99999999999999
264,13.099999999999989
265,12.99999999999999
266,12.89999999999999
267,12.79999999999999
268,12.69999999999999
269,12.79999999999999
270,12.69999999999999
271,12.79999999999999
272,12.69999999999999
273,12.59999999999999
274,12.499999999999991
275,12.59999999999999
276,12.499999999999991
277,12.59999999999999
278,12.499999999999991
279,12.59999999999999
280,12.499999999999991
281,12.59999999999999
282,12.499999999999991
283,12.399999999999991
284,12.499999999999991
285,12.399999999999991
286,12.299999999999992
287,12.399999999999991
288,12.499999999999991
289,12.399999999999991
290,12.499999999999991
291,12.399999999999991
292,12.299999999999992
293,12.399999999999991
294,12.299999999999992
295,12.199999999999992
296,12.299999999999992
297,12.199999999999992
298,12.299999999999992
299,12.399999999999991
300,12.499999999999991
301,12.59999999999999
302,12.499999999999991
303,12.399999999999991
304,12.499999999999991
305,12.59999999999999
306,12.499999999999991
307,12.59999999999999
308,12.69999999999999
309,12.79999999999999
310,12.69999999999999
311,12.59999999999999
312,12.499999999999991
313,12.399999999999991
314,12.299999999999992
315,12.399999999999991
316,12.299999999999992
317,12.199999999999992
318,12.099999999999993
319,11.999999999999993
320,12.099999999999993
321,12.199999999999992
322,12.299999999999992
323,12.199999999999992
324,12.099999999999993
325,11.999999999999993
326,12.099999999999993
327,11.999999999999993
328,12.099999999999993
329,11.999999999999993
330,11.899999999999993
331,11.999999999999993
332,12.099999999999993
333,11.999999999999993
334,12.099999999999993
335,11.999999999999993
336,11.899999999999993
337,11.799999999999994
338,11.699999999999994
339,11.599999999999994
340,11.499999999999995
341,11.399999999999995
342,11.299999999999995
343,11.399999999999995
344,11.299999999999995
345,11.199999999999996
346,11.299999999999995
347,11.199999999999996
348,11.099999999999996
349,11.199999999999996
350,11.299999999999995
351,11.399999999999995
352,11.499999999999995
353,11.399999999999995
354,11.299999999999995
355,11.399999999999995
356,11.499999999999995
357,11.599999999999994
358,11.499999999999995
359,11.599999999999994
360,11.499999999999995
361,11.599999999999994
362,11.699999999999994
363,11.799999999999994
364,11.699999999999994
365,11.799999999999994
366,11.699999999999994
367,11.799999999999994
368,11.699999999999994
369,11.799999999999994
370,11.899999999999993
371,11.799999999999994
372,11.699999999999994
373,11.599999999999994
374,11.499999999999995
375,11.399999999999995
376,11.499999999999995
377,11.399999999999995
378,11.299999999999995
379,11.399999999999995
380,11.299999999999995
381,11.399999999999995
382,11.499999999999995
383,11.399999999999995
384,11.499999999999995
385,11.399999999999995
386,11.499999999999995
387,11.399999999999995
388,11.299999999999995
389,11.399999999999995
390,11.299999999999995
391,11.199999999999996
392,11.299999999999995
393,11.399999999999995
394,11.499999999999995
395,11.399999999999995
396,11.499999999999995
397,11.399999999999995
398,11.499999999999995
399,11.399999999999995
400,11.499999999999995
401,11.399999999999995
402,11.299999999999995
403,11.399999999999995
404,11.299999999999995
405,11.399999999999995
406,11.499999999999995
407,11.599999999999994
408,11.499999999999995
409,11.399999999999995
410,11.499999999999995
411,11.399999999999995
412,11.499999999999995
413,11.599999999999994
414,11.699999999999994
415,11.799999999999994
416,11.899999999999993
417,11.799999999999994
418,11.899999999999993
419,11.799999999999994
420,11.699999999999994
421,11.599999999999994
422,11.699999999999994
423,11.799999999999994
424,11.699999999999994
425,11.599999999999994
426,11.699999999999994
427,11.599999999999994
428,11.499999999999995
429,11.599999999999994
430,11.699999999999994
431,11.599999999999994
432,11.499999999999995
433,11.599999999999994
434,11.699999999999994
435,11.599999999999994
436,11.699999999999994
437,11.799999999999994
438,11.699999999999994
439,11.599999999999994
440,11.699999999999994
441,11.799999999999994
442,11.899999999999993
443,11.799999999999994
444,11.699999999999994
445,11.599999999999994
446,11.499999999999995
447,11.399999999999995
448,11.499999999999995
449,11.599999999999994
450,11.699999999999994
451,11.599999999999994
452,11.699999999999994
453,11.599999999999994
454,11.699999999999994
455,11.799999999999994
456,11.899999999999993
457,11.799999999999994
458,11.699999999999994
459,11.799999999999994
460,11.899999999999993
461,11.999999999999993
462,11.899999999999993
463,11.999999999999993
464,11.899999999999993
465,11.999999999999993
466,11.899999999999993
467,11.799999999999994
468,11.899999999999993
469,11.999999999999993
470,12.099999999999993
471,12.199999999999992
472,12.299999999999992
473,12.199999999999992
474,12.099999999999993
475,12.199999999999992
476,12.099999999999993
477,11.999999999999993
478,11.899999999999993
479,11.799999999999994
480,11.899999999999993
481,11.799999999999994
482,11.899999999999993
483,11.799999999999994
484,11.699999999999994
485,11.799999999999994
486,11.899999999999993
487,11.799999999999994
488,11.699999999999994
489,11.799999999999994
490,11.699999999999994
491,11.799999999999994
492,11.899999999999993
493,11.999999999999993
494,12.099999999999993
495,12.199999999999992
496,12.299999999999992
497,12.199999999999992
498,12.099999999999993
499,12.199999999999992
500,12.099999999999993
501,12.199999999999992
502,12.099999999999993
503,12.199999999999992
504,12.099999999999993
505,11.999999999999993
506,11.899999999999993
507,11.799999999999994
508,11.899999999999993
509,11.999999999999993
510,12.099999999999993
511,11.999999999999993
512,11.899999999999993
513,11.999999999999993
514,12.099999999999993
515,12.199999999999992
516,12.299999999999992
517,12.199999999999992
518,12.099999999999993
519,11.999999999999993
520,11.899999999999993
521,11.999999999999993
522,12.099999999999993
523,11.999999999999993
524,12.099999999999993
525,12.199999999999992
526,12.299999999999992
527,12.199999999999992
528,12.299999999999992
529,12.399999999999991
530,12.499999999999991
531,12.399999999999991
532,12.499999999999991
533,12.59999999999999
534,12.499999999999991
535,12.399999999999991
536,12.499999999999991
537,12.399999999999991
538,12.299999999999992
539,12.399999999999991
540,12.499999999999991
541,12.59999999999999
542,12.69999999999999
543,12.59999999999999
544,12.69999999999999
545,12.79999999999999
546,12.69999999999999
547,12.79999999999999
548,12.89999999999999
549,12.79999999999999
550,12.89999999999999
551,12.79999999999999
552,12.89999999999999
553,12.79999999999999
554,12.69999999999999
555,12.79999999999999
556,12.89999999999999
557,12.99999999999999
558,13.099999999999989
559,12.99999999999999
560,12.89999999999999
561,12.99999999999999
562,12.89999999999999
563,12.99999999999999
564,13.099999999999989
565,13.199999999999989
566,13.299999999999988
567,13.199999999999989
568,13.299999999999988
569,13.399999999999988
570,13.499999999999988
571,13.399999999999988
572,13.499999999999988
573,13.399999999999988
574,13.299999999999988
575,13.199999999999989
576,13.299999999999988
577,13.199999999999989
578,13.299999999999988
579,13.399999999999988
580,13.499999999999988
581,13.399999999999988
582,13.299999999999988
583,13.199999999999989
584,13.099999999999989
585,13.199999999999989
586,13.299999999999988
587,13.399999999999988
588,13.299999999999988
589,13.399999999999988
590,13.299999999999988
591,13.399999999999988
592,13.499999999999988
593,13.599999999999987
594,13.499999999999988
595,13.599999999999987
596,13.699999999999987
597,13.799999999999986
598,13.699999999999987
599,13.799999999999986
600,13.899999999999986
601,13.999999999999986
602,14.099999999999985
603,14.199999999999985
604,14.099999999999985
605,14.199999999999985
606,14.299999999999985
607,14.199999999999985
608,14.099999999999985
609,14.199999999999985
610,14.099999999999985
611,14.199999999999985
612,14.099999999999985
613,13.999999999999986
614,14.099999999999985
615,14.199999999999985
616,14.299999999999985
617,14.399999999999984
618,14.499999999999984
619,14.599999999999984
620,14.499999999999984
621,14.399999999999984
622,14.499999999999984
623,14.599999999999984
624,14.699999999999983
625,14.799999999999983
626,14.699999999999983
627,14.599999999999984
628,14.499999999999984
629,14.399999999999984
630,14.499999999999984
631,14.599999999999984
632,14.699999999999983
633,14.799999999999983
634,14.899999999999983
635,14.999999999999982
636,14.899999999999983
637,14.999999999999982
638,14.899999999999983
639,14.799999999999983
640,14.699999999999983
641,14.799999999999983
642,14.699999999999983
643,14.599999999999984
644,14.499999999999984
645,14.599999999999984
646,14.499999999999984
647,14.599999999999984
648,14.499999999999984
649,14.599999999999984
650,14.699999999999983
651,14.799999999999983
652,14.699999999999983
653,14.799999999999983
654,14.899999999999983
655,14.799999999999983
656,14.699999999999983
657,14.799999999999983
658,14.899999999999983
659,14.799999999999983
660,14.899999999999983
661,14.799999999999983
662,14.699999999999983
663,14.599999999999984
664,14.699999999999983
665,14.799999999999983
666,14.899999999999983
667,14.799999999999983
668,14.699999999999983
669,14.599999999999984
670,14.699999999999983
671,14.599999999999984
672,14.699999999999983
673,14.799999999999983
674,14.699999999999983
675,14.799999999999983
676,14.899999999999983
677,14.799999999999983
678,14.699999999999983
679,14.599999999999984
680,14.699999999999983
