,value
0,9.9
1,10.0
2,10.1
3,10.2
4,10.1
5,10.2
6,10.299999999999999
7,10.2
8,10.1
9,10.0
10,10.1
11,10.2
12,10.1
13,10.2
14,10.299999999999999
15,10.2
16,10.299999999999999
17,10.2
18,10.1
19,10.0
20,10.1
21,10.2
22,10.299999999999999
23,10.399999999999999
24,10.499999999999998
25,10.599999999999998
26,10.699999999999998
27,10.599999999999998
28,10.699999999999998
29,10.799999999999997
30,10.699999999999998
31,10.799999999999997
32,10.699999999999998
33,10.599999999999998
34,10.699999999999998
35,10.799999999999997
36,10.699999999999998
37,10.599999999999998
38,10.699999999999998
39,10.599999999999998
40,10.699999999999998
41,10.799999999999997
42,10.899999999999997
43,10.799999999999997
44,10.699999999999998
45,10.799999999999997
46,10.899999999999997
47,10.799999999999997
48,10.699999999999998
49,10.599999999999998
50,10.499999999999998
51,10.399999999999999
52,10.299999999999999
53,10.2
54,10.1
55,10.0
56,10.1
57,10.2
58,10.299999999999999
59,10.399999999999999
60,10.499999999999998
61,10.599999999999998
62,10.699999999999998
63,10.799999999999997
64,10.899999999999997
65,10.999999999999996
66,10.899999999999997
67,10.999999999999996
68,10.899999999999997
69,10.999999999999996
70,11.099999999999996
71,11.199999999999996
72,11.099999999999996
73,10.999999999999996
74,10.899999999999997
75,10.799999999999997
76,10.699999999999998
77,10.599999999999998
78,10.499999999999998
79,10.599999999999998
80,10.699999999999998
81,10.799999999999997
82,10.899999999999997
83,10.799999999999997
84,10.899999999999997
85,10.999999999999996
86,11.099999999999996
87,11.199999999999996
88,11.299999999999995
89,11.199999999999996
90,11.299999999999995
91,11.199999999999996
92,11.099999999999996
93,10.999999999999996
94,10.899999999999997
95,10.999999999999996
96,10.899999999999997
97,10.999999999999996
98,10.899999999999997
99,10.999999999999996
100,11.099999999999996
101,11.199999999999996
102,11.099999999999996
103,10.999999999999996
104,10.899999999999997
105,10.999999999999996
106,10.899999999999997
107,10.799999999999997
108,10.899999999999997
109,10.799999999999997
110,10.699999999999998
111,10.799999999999997
112,10.899999999999997
113,10.799999999999997
114,10.699999999999998
115,10.799999999999997
116,10.699999999999998
117,10.599999999999998
118,10.699999999999998
119,10.799999999999997
120,10.899999999999997
121,10.799999999999997
122,10.699999999999998
123,10.599999999999998
124,10.699999999999998
125,10.599999999999998
126,10.499999999999998
127,10.399999999999999
128,10.499999999999998
129,10.399999999999999
130,10.499999999999998
131,10.599999999999998
132,10.499999999999998
133,10.399999999999999
134,10.299999999999999
135,10.2
136,10.299999999999999
137,10.399999999999999
138,10.499999999999998
139,10.599999999999998
140,10.499999999999998
141,10.399999999999999
142,10.499999999999998
143,10.399999999999999
144,10.499999999999998
145,10.399999999999999
146,10.499999999999998
147,10.399999999999999
148,10.499999999999998
149,10.399999999999999
150,10.499999999999998
151,10.599999999999998
152,10.499999999999998
153,10.599999999999998
154,10.499999999999998
155,10.599999999999998
156,10.699999999999998
157,10.799999999999997
158,10.899999999999997
159,10.799999999999997
160,10.899999999999997
